level,id,label,sites,instances,parents
	Q2095	food	220	0	^^
-	Q27773	common sole	0	0	
-	Q133017	Chlorella	0	0	
-	Q143359	Capelin	0	0	
-	Q167692	monjayaki	16	0	
-	Q203925	fish and chips	59	0	^^
-	Q219123	Kanafeh	37	0	^
--	Q12236278	Knafeh Nabulsiyeh	1	0	
-	Q239977	Albacore	0	0	
-	Q275621	smørrebrød	29	0	
--	Q3425450	Dyrlægens natmad	6	0	
--	Q87987417	stjerneskud	2	0	^
-	Q311090	Pandanus amaryllifolius	0	0	
-	Q343864	imambayıldı	32	0	
-	Q385808	hornazo	4	0	
-	Q420683	suet	0	0	
-	Q524374		3	0	
-	Q564491	Tacacá	8	0	^
-	Q564722	Charqui	11	0	
-	Q578307	hazelnut	49	0	^
--	Q3877632		1	0	
--	Q3877633		2	0	
--	Q3993016	Nocciola Piemonte IGP	2	0	
--	Q20105861	avellana de Reus	2	0	
--	Q55758405	hazelnut shell	0	0	^
--	Q67771283	hazelnut brittle	0	0	^
--	Q68189480	ground hazelnuts	0	0	
-	Q586591	Cumberland sausage	9	0	
-	Q596215	refried beans	0	0	
-	Q597921	brem	11	0	^
-	Q599548	manjū	26	0	
--	Q11259528	ichigo daifuku	2	0	^
--	Q11259060	iga manjū	1	0	
--	Q11260403	Usukawa Manjū	1	0	^
--	Q11264386	karintō manjū	2	0	
--	Q11273589	Tondo Manjū	1	0	
--	Q11274235	Nagoyan	1	0	
--	Q11275307	nō manjū	1	0	^
--	Q11279319	myōga manjū	1	0	
--	Q11280104	momiji manjū	9	0	^
---	Q11498439	agemomiji	1	0	^
--	Q11280364	Yassa Manjū	1	0	
--	Q11327956	Banana Manjū	1	0	
--	Q11333438	fried cake	1	0	^^
--	Q11396840	Rikyū manjū	1	0	
--	Q11404743	Jūmangoku Manjū	2	0	^
--	Q11408972	Hakata Torimon	1	0	^
--	Q11417021	miso manjū	1	0	
---	Q11637231	Minobu manjū	1	0	
--	Q11418701	tōmanjū	1	0	
---	Q11272921	Tōman	1	0	^
--	Q11435539	Ōte Manjū	2	0	^
--	Q11442514	tenpinumē manjū	1	0	
--	Q11536098	kuri manjū	2	0	
--	Q11562975	onsen manjū	1	0	^
--	Q11567619	yakimanjū	3	0	
--	Q11604652	awamanju	1	0	
--	Q11605346	Nayabashi Manjū	2	0	
--	Q11615196	Hanazono Manjyu	2	0	
--	Q11621154	sōshiki manjū	1	0	
--	Q11643455	miyako manjū	2	0	
--	Q11643879	Miyako-manjū	2	0	
--	Q11673565	oni manjū	2	0	
--	Q11675921	tsuruko manjū	1	0	
--	Q11677410	fu manjū	2	0	
--	Q85881727	mizu manjū	2	0	
--	Q112053209	Kame Manjū	1	0	
-	Q643225	rempeyek	8	0	
--	Q104109439		0	0	
-	Q683080	Fischbrötchen	11	0	^
-	Q685680	Grünkohlessen	0	0	
